NiceForNow Configuration,Tất Cả
Create System Report,Tạo hệ thống báo cáo
Unable to find a system report to delete.,Không tìm thấy một hệ thống báo cáo để xóa.
The system report has been deleted.,Hệ thống báo cáo đã bị xóa.
An error occurred while deleting the system report. Please review log and try again.,Lỗi xảy ra khi xóa báo cáo của hệ thống. Hãy xem lại đăng nhập và thử lại.
Requested system report no longer exists.,Yêu cầu hệ thống báo cáo không còn tồn tại.
Unable to read system report data to display.,Không thể đọc dữ liệu báo cáo của hệ thống để hiển thị.
No groups were specified to generate system report.,Không có nhóm được chỉ định để tạo ra các hệ thống báo cáo.
The system report has been generated.,Hệ thống báo cáo đã được tạo ra.
An error occurred while the system report was being created. Please review the log and try again.,Lỗi xuất hiện khi hệ thống báo cáo đã được tạo ra. Xin Hãy xem lại các bản ghi và thử lại.
System Reports,Hệ thống báo cáo
An error occurred during mass deletion of system reports. Please review log and try again.,Lỗi xảy ra trong quá trình xóa lượng lớn hệ thống báo cáo. Hãy xem lại đăng nhập và thử lại.
Utility %1 not found,Tiện ích %1 không tìm thấy
Unknown utility: %1,Không biết các tiện ích: %1
Cannot set root directory.,Không thể đặt thư mục gốc.
Support Module doesn't support %s operation system,Hỗ trợ Module không hỗ trợ hệ thống hoạt động %s
Unable to create backup due to php exec function is disabled,Không thể tạo sao lưu do chức năng php exec bị vô hiệu hóa
Incomplete,Không đầy đủ
Directory %s should have writable & readable permissions,Thư mục %s cần phải có quyền truy cập ghi & có thể đọc được
Windows,Cửa sổ
OS X,OS X
Processing ...,Đang xử lý ...
(now),(bây giờ)
[%1 minutes ago],[%1 phút trước]
[%1 hours ago],[%1 giờ trước]
[%1 days ago],[%1 ngày trước]
[%1 weeks ago],[%1 tuần trước]
[%1 months ago],[%1 tháng trước]
[%1 years ago],[%1 năm trước]
And more...,Và nhiều hơn nữa...
Column %1,Cột %1
Preparing system report data: Detected Single Row Mode but data may be incomplete.,Chuẩn bị hệ thống báo cáo dữ liệu: phát hiện chế độ hàng đơn nhưng dữ liệu có thể không đầy đủ.
All Eav Attributes,Tất cả các thuộc tính Eav
Category Eav Attributes,Thuộc tính Eav nhóm
Customer Address Eav Attributes,Thuộc tính địa chỉ Eav của khách hàng
Customer Eav Attributes,Thuộc tính Eav khách hàng
Entity Types,Loại thực thể
Model,Mẫu
Attribute Model,Thuộc tính kiểu
Increment Model,Tăng mô hình
Main Table,Bảng Chính
Additional Attribute Table,Bảng thuộc tính thêm
New Eav Attributes,Thuộc tính Eav mới
Product Eav Attributes,Sản phẩm Eav thuộc tính
Rma Item Eav Attributes,Rma mục Eav thuộc tính
User Defined Eav Attributes,Người dùng xác định thuộc tính Eav
Data from app/etc/env.php,Dữ liệu Lấy từ app/etc/env.php
Is Gateway,Là cửa ngõ
For Checkout,Để thanh toán
For Multishipping,Cho đa vận chuyển
Partial Capture Online,Chụp ảnh một phần trực tuyến
Refund Online,Hoàn lại tiền trực tuyến
Partial Refund Online,Một phần khoản hoàn lại trực tuyến
Partial Capture Offline,Chụp ảnh một phần trực tuyến
Partial Refund Offline,Một phần khoản hoàn lại trực tuyến
Payments Functionality Matrix,Ma trận chức năng thanh toán
Cron Expression,Biểu hiện cron
Run Class,Chạy lớp
Run Method,Phương pháp chạy
All Configurable Cron Jobs,Tất cả các công việc Cron cấu hình
All Global Cron Jobs,Tất cả các công việc Cron trên toàn cầu
Cron Schedules List,Cron lịch trình danh sách
Schedule Id,Lịch trình Id
Core Configurable Cron Jobs,Các công việc Cron cấu hình lõi
Core Global Cron Jobs,Các công việc Cron toàn cầu cốt lõi
Cron Schedules by job code,Cron lịch trình của mã công việc
Count,Bộ đếm
Cron Schedules by status code,Cron lịch bởi trạng thái mã
Custom Configurable Cron Jobs,Các công việc tùy chỉnh cấu hình Cron
Custom Global Cron Jobs,Tùy chỉnh toàn cầu Cron Jobs
Errors in Cron Schedules Queue,Lỗi trong Cron lịch hàng đợi
Corrupted Categories Data,Nhóm bị hỏng dữ liệu
Expected Children Count,Dự kiến con số
Actual Children Count,Con số Thực tế
Expected Level,Dự kiến mức độ
Actual Level,Mức độ thực tế
Duplicate Categories By URL Key,Các nhóm trùng lặp bằng URL key
Duplicate Orders By Increment Id,Đơn đặt hàng trùng lặp bằng cách tăng Id
Increment Id,Tăng Id
Duplicate Products By SKU,Các sản phẩm Lặp lại của mã sản phẩm
Duplicate Products By URL Key,Sản phẩm Trùng lặp bởi URL Key
Duplicate Users By Email,Lặp lại người dùng bằng Email
Parent,Cấp trên
Adminhtml Themes List,Adminhtml chủ đề danh sách
Frontend Themes List,Frontend chủ đề danh sách
Event Name,Tên Sự kiện
Observer Class,Người quan sát loại
All Admin Events,Tất cả sự kiện quản trị
All Crontab Events,Tất cả các sự kiện Crontab
All Doc Events,Tất cả các sự kiện Doc
All Frontend Events,Tất cả sự kiện Frontend
All Global events,Tất cả các sự kiện toàn cầu
All REST Events,Tất cả sự kiện REST
All SOAP Events,Tất cả các sự kiện SOAP
Core Admin Events,Lõi quản trị sự kiện
Core Crontab Events,Lõi Crontab sự kiện
Core Doc Events,Lõi Doc sự kiện
Core Frontend Events,Lõi sự kiện Frontend
Core Global Events,Sự kiện toàn cầu cốt lõi
Core REST Events,Lõi sự kiện REST
Core SOAP Events,Lõi sự kiện SOAP
Custom Admin Events,Admin tùy chỉnh Sự kiện
Custom Crontab Events,Tùy chỉnh Sự kiện Crontab
Custom Doc Events,Sự kiện tùy chỉnh Doc
Custom Frontend Events,Sự kiện tùy chỉnh Frontend
Custom Global Events,Tuỳ chỉnh các sự kiện toàn cầu
Custom REST Events,Tuỳ chỉnh sự kiện REST
Custom SOAP Events,Sự kiện tùy chỉnh SOAP
Log Files,Tập tin đăng nhập
Log Entries,Lối vào đăng nhập
Today's Top Debug Messages,Tin nhắn debug nhiều nhất ngày hôm nay
Last Occurrence,Lần xuất hiện cuối cùng
Today's Top Exception Messages,Tin nhắn ngoại lệ nhiều nhất ngày hôm nay
Stack Trace,Stack Trace
Today's Top System Messages,Tin nhắn hệ thống nhiều nhất trong ngày
Top Debug Messages,Thông điệp gỡ lỗi hàng đầu
Top Exception Messages,Trường hợp tin nhắn ngoại lệ hàng đầu
Top System Messages,Hệ thống tin nhắn hàng đầu
Store Views List,Lưu trữ danh sách lượt xem
Stores List,Danh sách cửa hàng
Websites List,Danh sách các trang web
Websites Tree,Cây Trang web
There was an error while loading system report data.,Đã có lỗi trong khi tải dữ liệu báo cáo của hệ thống.
Cannot save backup. The reason is: Utility lsof not found,Không thể lưu bản sao lưu. Lý do là: Tiện ích lsof không tìm thấy
Test error,Kiểm tra lỗi
Entity Type Code,Thực thể loại mã
Source Model,Mô hình mã nguồn
Backend Model,Mô hình Backend
Frontend Model,Mô hình Frontend
Show Log,Hiển thị đăng nhập
"Delete ""%1""","Xóa ""%1"""
"Are you sure you want to delete a ""%1"" record?","Bạn muốn xóa ""%1"" bản ghi?"
"Are you sure you wan't to delete a ""%1"" record?","Bạn có chắc chắn không muốn xóa ""%1"" bản ghi?"
Empty log,đăng nhập trống
Backup ID: ,Sao lưu ID:
 (no data), (không có dữ liệu)
Support Data Collector,Hỗ trợ dữ liệu sưu tập
Support System Report,Hỗ trợ hệ thống báo cáo
System Report,Hệ thống báo cáo
Logs,Nhật ký
New Backup,Sao lưu mới
Refresh Status,Làm mới trạng thái
Are you sure you want to delete selected item(s)?,Bạn muốn xóa các sản phẩm đã chọn?
Code Dump,Mã Dump
DB Dump,DB Dump
Choose Report Groups,Chọn báo cáo nhóm
New Report,Báo cáo mới
Date Generated,Ngày được tạo ra
Report Groups,Báo cáo nhóm
All processes should be completed.,Tất cả các quy trình phải được hoàn thành.
"The ""%1"" utility wasn't found. Verify the utility and try again.","Không tìm thấy tiện ích ""%1"". Xác minh tiện ích và thử lại."
"The ""%1"" utility is unknown. Verify the utility and try again.","Tiện ích ""%1"" không xác định. Xác minh tiện ích và thử lại."
The root category can't be set. Verify the category and try again.,Không thể đặt danh mục gốc. Xác minh danh mục và thử lại.
Unknown schema type supplied,Đã cung cấp loại giản đồ không xác định
Admin is a required field in each row,Quản trị viên là một trường bắt buộc trong mỗi hàng
Update Product Preview Image,Hình ảnh xem trước bản cập nhật sản phẩm
Filtering by this attribute will update the product image on catalog page,"Lọc theo thuộc tính này sẽ cập nhật trên trang mục lục sản phẩm, hình ảnh"
Use Product Image for Swatch if Possible,Sử dụng hình ảnh sản phẩm mẫu nếu có thể
Allows use fallback logic for replacing swatch image with product swatch or base image,Cho phép sử dụng logic dự phòng để thay thế mẫu hình ảnh với hình ảnh mẫu hoặc cơ sở sản phẩm
Visual Swatch,Hình ảnh mẫu
Text Swatch,Văn bản mẫu
Manage Swatch (Values of Your Attribute),Quản lý Mẫu (giá trị của thuộc tính của bạn)
Add Swatch,Thêm mẫu
Select from the following attribute values for this product. Each unique combination of values creates a unique product SKU.,Chọn từ các giá trị thuộc tính sau đây cho sản phẩm này. Mỗi sự kết hợp độc đáo của giá trị tạo ra một sản phẩm độc đáo.
Swatches,Swatches
Swatches per Product,Mẫu cho mỗi sản phẩm
Show Swatches in Product List,Hiển thị các mẫu trong danh sách sản phẩm
Swatch Image,Hình ảnh mẫu
Swatch Helper: not valid parameter for product instantiation,Swatch Helper: tham số không hợp lệ cho các sản phẩm
Admin is a required field in the each row,Admin là trường bắt buộc trong mỗi hàng
Swatch cannot be saved,Swatch không thể được lưu
More,Thêm
Sending swatch values as package.,Gửi giá trị mẫu dưới dạng gói.
Addtional data is wrong and cannot be assembled,Dữ liệu bổ sung bị sai và không thể tổng hợp
Addtional data is wrong and cannot be populated,Dữ liệu bổ sung bị sai và không thể xác định
Related Products Rule,Quy tắc Sản phẩm liên quan
Product Result Conditions (leave blank for matching all products),Điều kiện kết quả Sản phẩm (để trống nếu áp dụng với tất cả sản phẩm)
Product Match Conditions (leave blank for matching all products),Điều kiện Sản phẩm tương ứng (để trống nếu áp dụng với tất cả sản phẩm)
Products to Match,Sản phẩm phù hợp
General Rule Information,Thông tin quy định chung
Result Limit,Giới hạn kết quả
Maximum number of products this rule can apply to (up to 20).,Số lượng sản phẩm tối đa có thể áp dụng quy tắc này (lên tới 20).
Product Rule Information,Thông tin quy tắc sản phẩm
Undefined Catalog Product List Type,Không thể xác định loại danh sách danh mục sản phẩm
New Related Products Rule,Quy Tắc Mới Sản Phẩm Liên Quan
Related Products Rules,Quy Tắc Sản Phẩm Liên Quan
We can't save the product rule right now.,Không thể lưu quy tắc của sản phẩm.
Please specify a correct rule.,Hãy nhập quy tắc chính xác.
Invalid product list type,Loại danh sách sản phẩm không hợp lệ
Invalid rotation mode type,Cấu hình luân chuyển không hợp lệ
Product %1%2%3%4%5%6%7,Sản phẩm %1%2%3%4%5%6%7
Constant Value,Giá trị liên tục
the Same as Matched Product Categories,tương tự như ứng với các danh mục sản phẩm
the Child of the Matched Product Categories,kết quả của nhóm sản phẩm phù hợp
Matched Product %1,Sản phẩm phù hợp %1
Target Product ,Sản Phẩm Được Chọn
Price (percentage),Giá (tỷ lệ phần trăm)
Product Special,Sản phẩm đặc biệt
Product Price is %1 %2% of Matched Product(s) Price,Giá sản phẩm là %1 %2% ứng với giá các sản phẩm
Please define a product data object.,Hãy xác định một đối tượng dữ liệu sản phẩm.
Model class name for attribute is invalid,Tên lớp mô hình cho thuộc tính không hợp lệ
"This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter.","Mã này thuộc tính không hợp lệ. Hãy chỉ sử dụng chữ cái (a-z), số (0-9) hoặc dấu gạch dưới (_), và đảm bảo rằng mã bắt đầu bằng một chữ cái."
Both Selected and Rule-Based,Cả hai đã chọn và dựa trên nguyên tắc
Selected Only,Chỉ Chọn
Rule-Based Only,Chỉ Dựa trên quy tắc
Do not rotate,Không thay đổi
Shuffle,Tạo mới
Rule-based Settings,Cài đặt Dựa trên nguyên tắc
Rule-based Positions,Vị trí dựa trên Quy tắc
Position Behavior,Vị trí hành vi
Rule-Based Product Relations,Sản phẩm liên quan dựa trên quy tắc
Maximum Number of Products in Related Products List,Số lượng tối đa của các sản phẩm trong danh sách sản phẩm liên quan
Show Related Products,Hiển thị sản phẩm liên quan
Rotation Mode for Products in Related Product List,Chế độ quay cho các sản phẩm trong danh sách sản phẩm liên quan
Maximum Number of Products in Cross-Sell Product List,Số lượng tối đa của sản phẩm trong danh sách bán chéo sản phẩm
Show Cross-Sell Products,Hiển thị bán chéo sản phẩm
Rotation Mode for Products in Cross-Sell Product List,Chế độ quay cho các sản phẩm trong danh sách bán chéo sản phẩm
Maximum Number of Products in Upsell Product List,Số lượng tối đa của sản phẩm trong danh sách sản phẩm Upsell
Rotation Mode for Products in Upsell Product List,Chế độ quay cho các sản phẩm trong danh sách sản phẩm Upsell
Target Rule,Các quy tắc mục tiêu
Target Rule Index,Các chỉ mục quy tắc mục tiêu
Product/Target Rule,Quy tắc Sản phẩm/mục tiêu
Target Rule/Product,Mục tiêu quy tắc/sản phẩm
Target Rule Index.,Các chỉ mục quy tắc mục tiêu.
The Catalog Product List Type needs to be defined. Verify the type and try again.,Loại Danh mục Sản phẩm Danh mục cần được xác định. Xác minh loại và thử lại.
The attribute's model class name is invalid. Verify the name and try again.,Model class của thuộc tính không hợp lệ. Xác minh tên và thử lại.
Tax Rate Information,Thông tin về tỷ lệ thuế
Tax Identifier,Định danh thuế
Zip/Post is Range,Số Zip/Post là phạm vi
'*' - matches any, 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.
Range From,Nằm trong khoảng từ
Range To,Nằm trong khoảng đến
Rate Percent,Tỷ lệ phần trăm
Tax Titles,Tiêu đề thuế
Add New Tax Rate,Thêm tỷ lệ thuế mới
Delete Rate,Xóa các tỷ lệ
Save Rate,Lưu tỷ lệ
Manage Tax Rules,Quản lý quy tắc thuế
Add New Tax Rule,Thêm quy tắc thuế mới
Tax Rule Information,Thông tin về quy tắc thuế
Customer Tax Class,Các loại thuế khách hàng
Product Tax Class,Loại thuế sản phẩm
Tax Rate,Thuế suất
"Tax rates at the same priority are added, others are compounded.","Thuế suất ở cùng mức ưu tiên được thêm vào, những thuế suất khác thì được gộp lại."
Calculate Off Subtotal Only,Chỉ tính toán tổng phụ
Do you really want to delete this tax class?,Bạn có thực sự muốn xóa lớp thuế này không?
Add New Tax Class,Thêm lớp thuế mới
Subtotal (Excl.Tax),Tổng phụ (chưa bao gồm thuế)
Subtotal (Incl.Tax),Tổng phụ (đã bao gồm thuế)
Shipping & Handling (Excl.Tax),Vận chuyển & xử lý (chưa bao gồm thuế)
Shipping & Handling (Incl.Tax),Vận chuyển & xử lý (đã bao gồm thuế)
Grand Total (Excl.Tax),Tổng (chưa bao gồm thuế)
Grand Total (Incl.Tax),Tổng (đã bao gồm thuế)
Manage Tax Rates,Quản lý thuế suất
New Tax Rate,Tỷ lệ thuế mới
Tax Zones and Rates,Khu vực thuế và tỷ giá
We can't delete this tax rate right now.,Hiện tại không thể xóa bỏ mức thuế này ngay bây giờ.
An error occurred while loading this tax rate.,Lỗi xuất hiện khi đang nạp tỷ lệ thuế này.
You deleted the tax rate.,Bạn xóa bỏ thuế suất.
We can't delete this rate because of an incorrect rate ID.,Chúng ta không thể xóa tỷ giá này này vì ID tỉ giá không đúng.
Something went wrong deleting this rate.,Phát sinh vấn đề xóa các tỷ lệ này.
Edit Tax Rate,Chỉnh sửa mức thuế suất
You saved the tax rate.,Bạn đã lưu mức thuế suất.
An error occurred while loading tax rates.,Đã xảy ra lỗi khi tải thuế suất.
The tax rule has been deleted.,Quy tắc thuế đã bị xóa.
Something went wrong deleting this tax rule.,Phát sinh vấn đề khi xoá quy tắc thuế này.
New Tax Rule,Quy luật thuế mới
You saved the tax rule.,Bạn đã lưu quy tắc thuế.
We can't save this tax rule right now.,Không thể lưu quy tắc thuế này ngay bây giờ.
Invalid name of tax class specified.,Tên thuế không hợp lệ lớp được chỉ định.
We can't delete this tax class right now.,Hiện tại không thể xóa bỏ mức thuế này ngay bây giờ.
We can't save this tax class right now.,Không thể lưu mức thuế này ngay bây giờ.
Make sure all required information is valid.,Đảm bảo rằng tất cả các thông tin yêu cầu là hợp lệ.
The Rate Percent should be a positive number.,Tỷ lệ phần trăm nên là số dương.
Maximum zip code length is 9.,Chiều dài tối đa số zip là 9.
Use digits only for the zip code.,Chỉ Sử dụng các chữ số cho mã bưu chính.
Range To should be equal or greater than Range From.,Phạm vi đến nên bằng hoặc lớn hơn phạm vi từ.
The tax rate cannot be removed. It exists in a tax rule.,Tỷ lệ thuế không thể được gỡ bỏ. Nó tồn tại trong một quy tắc thuế.
This class no longer exists.,Lớp này không còn tồn tại.
You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.,Bạn không thể xoá lớp thuế này bởi vì nó được sử dụng trong luật thuế. Bạn phải xoá các quy tắc mà nó được sử dụng trong lần đầu tiên.
You cannot delete this tax class because it is used in existing %1(s).,Bạn không thể xoá lớp thuế này bởi vì nó đang được sử dụng %1(s).
Custom price if available,Tuỳ chỉnh giá nếu có sẵn
Original price only,Chỉ giá gốc
Shipping Origin,Nguồn gốc vận chuyển
No (price without tax),Không có (giá không có thuế)
Yes (only price with tax),Có (chỉ giá với thuế)
Both (without and with tax),Cả hai (không có và có với thuế)
Invalid type supplied,Loại không hợp lệ được cung cấp
Class name and class type,Tên lớp và kiểu lớp
Grand Total (Excl. Tax),Tổng (chưa bao gồm thuế)
Grand Total (Incl. Tax),Tổng (đã bao gồm thuế)
Shipping (Excl. Tax),Vận chuyển (chưa bao gồm thuế)
Shipping (Incl. Tax),Vận chuyển (đã bao gồm thuế)
Before Discount,Trước khi giảm giá
After Discount,Sau khi giảm giá
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. ","Để áp dụng chiết khấu trên giá đã bao gồm thuế và áp dụng thuế sau chiết khấu, hãy đặt Giá danh mục thành “Bao gồm thuế”. "
Store(s) affected: ,Cửa hàng bị ảnh hưởng:
"Click on the link to <a href=""%1"">ignore this notification</a>","Nhấp vào liên kết để <a href=""%1""> bỏ qua thông báo này</a>"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. ",0
Your current tax configuration may result in rounding errors. ,Cấu hình thuế hiện tại của bạn có thể dẫn đến lỗi làm tròn.
"Please see <a href=""%1"">documentation</a> for more details. ","Hãy xem <a href=""%1""> tài liệu hướng dẫn</a> chi tiết hơn. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","Nhấn vào đây để đi đến <a href=""%1""> cấu hình Thuế</a> và thay đổi cài đặt của bạn."
"Invalid type of tax class ""%1""","Loại lớp thuế không hợp lệ ""%1"""
Updating classType is not allowed.,Cập Nhật lớp là không được phép.
A class with the same name already exists for ClassType %1.,Một lớp có cùng tên đã tồn tại đối với Loại lớp %1.
Excl. tax:,Chưa bao gồm thuế:
Entity already exists,Thực thể đã tồn tại
Cannot save titles,Không thể lưu tiêu đề
Leave this field empty if you wish to use the tax identifier.,Lĩnh vực này để trống nếu bạn muốn sử dụng các định danh thuế.
An error occurred,Lỗi đã xảy ra
Do you really want to delete this tax rate?,Bạn có thực sự muốn xóa thuế suất này không?
Add New Class,Thêm lớp mới
Taxes,Các thuế
Tax Section,Phần Thuế
Tax Classes,Loại thuế
Tax Class for Shipping,Thuế cấp cho vận chuyển
Default Tax Class for Product,Mặc định lớp thuế cho sản phẩm
Default Tax Class for Customer,Mặc định lớp thuế cho khách hàng
Calculation Settings,Thiết lập tính toán
Tax Calculation Method Based On,Phương pháp tính thuế dựa trên
Catalog Prices,Mục lục giá
This sets whether catalog prices entered from Magento Admin include tax.,Điều này được đặt nếu mục lục giá nhập từ quản trị viên Magento đã bao gồm thuế.
Shipping Prices,Giá vận chuyển
This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.,Điều này được đặt nếu số lượng vận chuyển nhập từ quản trị viên Magento hoặc thu được từ cổng bao gồm thuế.
Apply Customer Tax,Áp dụng thuế khách hàng
Apply Discount On Prices,Áp dụng giảm giá về giá
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","Cảnh báo: Để áp dụng chiết khấu trên giá đã bao gồm thuế và áp dụng thuế sau chiết khấu, hãy đặt giá danh mục thành “Bao gồm thuế”."
Apply Tax On,Áp dụng thuế trên
Enable Cross Border Trade,Cho phép thương mại vượt qua biên giới
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","Khi giá theo mục lục đã bao gồm thuế, cho phép thiết đặt này sửa chữa giá bất kể thuế suất khách hàng là gì."
Default Tax Destination Calculation,Mặc định đích tính toán thuế
Default State,Thành phố mặc định
Default Post Code,Mã bưu chính mặc định
Price Display Settings,Thiết đặt hiển thị giá
Display Product Prices In Catalog,Hiển thị giá sản phẩm trong mục lục
Display Shipping Prices,Hiển thị giá vận chuyển
Shopping Cart Display Settings,Thiết đặt hiển thị giỏ hàng mua sắm
Display Prices,Hiển thị giá
Display Subtotal,Hiển thị tổng phụ
Display Shipping Amount,Hiển thị số lượng vận chuyển
Include Tax In Order Total,Bao gồm thuế trong tổng số đơn hàng
Display Full Tax Summary,Hiển thị bản tóm tắt đầy đủ thuế
Display Zero Tax Subtotal,Hiển thị các số tổng thuế
"Orders, Invoices, Credit Memos Display Settings","Thiết đặt hiển thị bản ghi nhớ tín dụng, đơn hàng, hóa đơn"
State/Region,Bang/khu vực
Subtotal Only,Chỉ tổng phụ
(Excl. Tax),(không bao gồm thuế)
(Incl. Tax),(Bao gồm cả thuế)
Order Total Excl. Tax,Đơn hàng tổng số chưa bao gồm thuế
Order Total Incl. Tax,Đơn hàng tổng số đã bao gồm thuế
Warning tax configuration can result in rounding errors. ,Cảnh cấu hình báo thuế có thể gây ra lỗi làm tròn.
"Warning tax discount configuration might result in different discounts, than a customer might expect. ",Cảnh báo cấu hình thuế giảm giá có thể dẫn đến giảm giá khác nhau so với khách hàng mong đợi.
"Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected.","Áp dụng giảm giá trên mức giá bao gồm thuế được tính dựa trên thuế cửa hàng, nếu ""Áp dụng thuế sau khi giảm giá"" được chọn."
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.",0
The required information is invalid. Verify the information and try again.,Thông tin bắt buộc không hợp lệ. Xác minh thông tin và thử lại.
The Rate Percent is invalid. Enter a positive number and try again.,Tỷ lệ Phần trăm không hợp lệ. Nhập một số dương và thử lại.
The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again.,Độ dài Mã bưu chính không hợp lệ. Xác minh rằng độ dài là chín ký tự trở xuống và thử lại.
The ZIP Code is invalid. Use numbers only.,Mã bưu chính không hợp lệ. Chỉ sử dụng số.
The tax rate can't be removed because it exists in a tax rule.,Không thể xóa thuế suất vì nó tồn tại trong quy tắc thuế.
Import and Export Tax Rates,Thuế suất xuất nhập khẩu
The tax rate has been imported.,Thuế suất đã được chuyển nhập.
Invalid file upload attempt,Cố gắng tải lên tệp không hợp lệ
Invalid file upload attempt.,Cố gắng tải lên tệp không hợp lệ.
Invalid file format.,Định dạng tập tin không hợp lệ.
One of the countries has invalid code.,Một trong những nước có mã không hợp lệ.
Import Tax Rates,Nhập thuế xuất
Export Tax Rates,Xuất thuế xuất
Country code is invalid: %1,Mã quốc gia không hợp lệ: %1
Import/Export Tax Rates,Thuế suất xuất nhập khẩu
Save and Continue,Lưu và tiếp tục
Save Configuration,Lưu cấu hình
Theme: %1,Chủ đề: %1
Theme CSS,Chủ đề CSS
Theme CSS Assets,Chủ đề CSS tài sản
Select CSS File to Upload,Chọn tập tin CSS để tải lên
Upload CSS File,Tải lên tập tin CSS
Download CSS File,Tải về tập tin CSS
Images Assets,Hình ảnh tài sản
Upload Fonts,Tải phông chữ
Fonts Assets,Phông chữ tài sản
Edit custom.css,Chỉnh sửa custom.css
Allowed file types *.css.,Cho phép các tập tin loại *.css.
This file will replace the current custom.css file and can't be more than 2 MB.,File này sẽ thay thế tệp custom.css hiện tại và không thể lớn hơn 2 MB.
Max file size to upload %1M,Tối đa kích thước tập tin để tải lên %1M
Something is wrong with the file upload settings.,Có gì đó đã sai với các cài đặt tải lên tập tin.
CSS Editor,Biên tập CSS
Theme Settings,Thiết đặt chủ đề
Parent Theme,Chủ đề cha
Theme Path,Đường dẫn chủ đề
Theme Title,Tiêu đề chủ đề
Theme Preview Image,Hình ảnh xem trước chủ đề
Copy of %1,Bản sao của %1
Max image size %1M,Tối đa kích thước hình ảnh %1M
Theme JavaScript,Chủ đề JavaScript
Select JS Files to Upload,Chọn JS tập tin để tải lên
Upload JS Files,Tải lên tập tin JS
JS Editor,Trình soạn thảo JS
Allowed file types *.js.,Cho phép các tập tin loại *.js.
welcome,chào mừng
Design Configuration,Cấu hình thiết kế
You deleted the theme.,Bạn đã xoá chủ đề.
We cannot delete the theme.,Không thể xoá bỏ chủ đề.
"File not found: ""%1"".","Không tìm thấy tệp: ""%1""."
We can't find file.,Không tìm thấy tệp.
"We cannot find theme ""%1"".","Không tồn tại chủ đề ""%1""."
We cannot find the theme.,Không tồn tại chủ đề.
This theme is not editable.,Chủ đề này không phải là có thể chỉnh sửa.
We can't upload the CSS file right now.,Không thể tải lên các tập tin CSS ngay bây giờ.
"We cannot find a theme with id ""%1"".","Không tồn tại một chủ đề Id ""%1""."
We can't upload the JS file right now.,Không thể tải lên các tập tin JS ngay bây giờ.
"Sorry, something went wrong. That's all we know.","Xin lỗi, đã phát sinh vấn đề."
Invalid type,Loại không hợp lệ
Invalid scope or scope id,Phạm vi hoặc phạm vi id không hợp lệ
%1 does not contain field '%2',%1 không chứa trường '%2'
"Invalid regular expression: ""%1"".","Biểu hiện thường xuyên không hợp lệ: ""%1""."
%1 does not contain field 'file',%1 không có trường 'tập tin'
Backend model is not specified for %1,Mô hình Backend không được chỉ định cho %1
The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.,%templateName chứa một cấu hình không chính xác. Các mẫu có một tham chiếu đến chính nó. Loại bỏ hoặc thay đổi tài liệu tham khảo.
Can not save empty config,Không thể lưu cấu hình sản phẩm nào
The start date can't follow the end date.,Ngày bắt đầu không thể sau ngày kết thúc.
The date range for this design change overlaps another design change for the specified store.,Phạm vi ngày để thay đổi thiết kế này trùng lặp một thiết kế thay đổi cho các cửa hàng được chỉ định.
Theme id should be set,Chủ đề id sẽ được thiết lập
"Circular-reference in theme inheritance detected for ""%1""","Thông tư-tài liệu tham khảo trong chủ đề kế thừa được phát hiện cho ""%1"""
The CSS file must be less than %1M.,Các tập tin CSS phải nhỏ hơn %1M.
The JS file must be less than %1M.,Các tập tin JS phải nhỏ hơn %1M.
"Use only standard alphanumeric, dashes and underscores.","Chỉ Sử dụng chữ số tiêu chuẩn, dấu gạch ngang và dấu gạch dưới."
We found a directory with the same name.,Tìm thấy một thư mục có cùng tên.
We cannot find a directory with this name.,Không tồn tại một thư mục với tên này.
Theme isn't deletable.,Chủ đề không thể xóa.
We found no files.,Không tìm thấy tập tin.
Browse Files,Trình duyệt tập tin
Scope:,Trang hiển thị:
Help Us Keep Magento Healthy,Giúp chúng tôi giữ cho Magento hoạt động tốt
Report All Bugs,Báo cáo tất cả các lỗi
You're currently reading page,Bạn đang đọc trang
We don't recognize this file extension.,Không thể xác định phần mở rộng tập tin này.
Default welcome msg!,Chào mừng bạn đến tin nhắn mặc định!
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-present Magento, Inc. All rights reserved."
Design Config Grid,Thiết kế cấu hình mạng lưới
Rebuild design config grid index,Xây dựng lại thiết kế cấu hình mạng lưới chỉ số
Admin empty,Quản trị trống
Admin 1column,Admin cột 1
Theme Information,Thông tin Chủ đề
HTML Head,HTML đầu
